,job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url,rate_by,min,max,adjusted_salary,yearly_adjusted_salary,salary_bins
166,Business Analyst,$25 - $35 an hour,Calculated Hire,"Charlotte, NC",Temporarily remote,,"Need someone who is excellent at reporting and data mining.
This team is responsible for providing regular reports, process improvement consultation, data…",6 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DZ6O0M0B_3F8oQb4YMAqApYAvZvEqwNptz_xqlbiY_WT-1o3yhNjEM8KaYIKBiJLK0CZ0jj9mJtL7e3U0k-H9Lt51WWXxkKXmjUAEwcBU3DwwszkGqZ2R0beekXn0excgorBCgW_sIcxwEE47C2hyhqLZoui-qWURb9X7CowkuD8IlJok56T08Ih15Yg_IgU0CzkH6ihkjkbfjuRPoiMW76Z6qUanCYh8l6_e0Il32ALBIV1ikTopG7FepDrY76FjkPh73ux6IW9FO9JD6k2KJ4ebowWqaf6vZwGBs60r_kGq5Wfmjax9Z-WsGjk8NKiUXgW_J-vCZ6HOFnTAuQimjuaxdi-Z3osvrjiMBICfaIuMnXPOXxY_bmF3DPOSgRU7ugkTYWhdsDVtnR4BpjXhmP0cgxz3cMRPMNh323URZ4AK7S41lpU5p-kGtjMN8a_QjDOC9JZVH-o7fskLbxnrVok5zYmjjjcY=&p=1&fvj=1&vjs=3,Hourly,25.0,35.0,30.0,73320.0,70K - 90K
172,LoanIQ Business Analyst,$48.80 an hour,MATRIX Resources,"Charlotte, NC",,4.0,"Strengthen LoanIQ data quality and controls.
We are looking for a LoanIQ Business Systems Consultant to support the implementation of a LIBOR replacement…",11 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0De5ppvndiyxA0pMSLQzOe_j9Mra0KF_8EhxTxOKXtZIfGIjgcBR63ubaX8aNJ4MBtkMKHB8-N4Zob7ZD502tzgbrQLspduydmLQB9jQ3lmZTtJb9JXuREkvukJVbYsIEpz8cBl5qWHkDGIuqkj-7i-PcpO1zbJv6U-ZXLciYLaiJSl60QL3vL_B89Y4M6lYArdX8SfPSeB5u-4jBrOLO65Pax2XC8Z2BWLSfNpOSZa48km8bvD_SFWb8UCyDidYv1glXIKW6KnSvkl8xkCxdlE3bGhYBtgPvd3dFZosZa26fm5pMLdR5zGnv3Icopvl26OdmQowqpvg3cidpBE2-7G68XyPFT61fl8RohaeJ3UhHX7BTPoyEaoOesv6WyR5Z5Ss1rofmZ_RGj2K_S4UhTFbkL-lO48kupPNL0E8999PufsLXWlMRcXb-ud7-JYistgXolUngA0p8Z2u0vCzM3_jjXRsDsAbOgzMmZscMuoZU12hEc2_Y7WXdx27UcLqJDBUOk1mKj8YMYPUqbZ1R0A_WWKeqcdYUO740ncBbDqKk9D8oLNUMn1oTHK25UQCfMDqbjepMZT1wvl5Gqyo97YJis-weFGBnml5Jte5YsEU-DP6RtKh5UC9eotfCoz-Ndg3-Qw0_cxCaA7MziU050CSNjOPc56b9nZe5Y5lVEFVA==&p=7&fvj=0&vjs=3,Hourly,48.8,0.0,48.8,119267.2,90K - 120K
177,Senior Business Analyst,$41.10 an hour,MATRIX Resources,"Charlotte, NC",,4.0,"Support Records Management Compliance oversight and governance function.
Required to validate requirements based on evidence supplied and make decision on…",11 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0De5ppvndiyxA0pMSLQzOe_j9Mra0KF_8EhxTxOKXtZIfGIjgcBR63u5XhSmlxmqn0NNEklE9M5IZuc6hAYRsEzZhL2MzidZp-nbUDoH9i5m-IVtIxzYwFsKNZQmlQy56aCAR4BsdXMD4RD-5ADry6lJ9xhIPqYBl6IebbRCtot3alCVOEt0VYZh-i8mlfy2ebOJdGVicY_wueEQjxA41W3X2fbkD1lmpcs_JI9kN7mWN2yAKc9Bf8Pjh9c24U99wOAoTxsXYcjogfrR4WieLQgdHM-0vlZvEXViSHwhMoLURN8VHo0dIXDW04S3rcz_b5R69dB9-hW_jphuzo0X_iO1zFNdtMCriChxKTRvdAKgpsU3bTiqBiX7_VXOhHk6Lj1pmZUZQnXb4u1w8udVj0oSxiEPHsZkMaL1xQsKAp81pY9U6mSoYujm6bZM1UQ0cmTOjfJt9tVuL83s3K3kUs604z_RR1wqfaBdRHJRsfDHVJeD3r4ruhh0APAPjSmK3vr08RqGRHAUUVNGqPRiv1kdqMacDrOP3G6sq0VlJidZmKNAqiOWvqfVUuFUhYdr5lyCjNGm9l2FZ4OpJ593PHFkU7RoYV7vwf0aQIkIpXruwHfwWaB-5LyNz0Ywd556ErtAwcweJQP6oLdiqLTAoOWlKwexlyig_w=&p=12&fvj=0&vjs=3,Hourly,41.1,0.0,41.1,100448.40000000001,90K - 120K
9,Data Scientist,"$100,000 - $120,000 a year",Data Bridge Consultants,"Charlotte, NC",,4.5,"3+ years experience in machine learning, data science, data engineering, and/or computational software development.",26 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f2f7876be2abbdc5&fccid=eb7bcec5d5284bf2&vjs=3,Yearly,100000.0,120000.0,110000.0,110000.0,90K - 120K
32,Senior Data Analytics Engineer,"$125,000 - $145,000 a year",Synergy Systems,"Charlotte, NC",Remote,4.2,"Help support software developers, database architects, data analysts and data scientists on initiatives and will ensure optimal data analytic architecture is…",2 days ago,2021-01-15,https://www.indeed.com/company/Synergy-Systems/jobs/Senior-Data-Analytic-Engineer-c1fffe4d66cccb84?fccid=e143f1b08f6269c3&vjs=3,Yearly,125000.0,145000.0,135000.0,135000.0,120K - 150K
12,Quality Control Technician,$14 - $16 an hour,The Reserves Network Inc.,"Charlotte, NC",,3.3,"Reading and interpreting engineer blueprints.
Experience with a variety of machine shop tools and equipment is preferred.
Employer matched 401(k) plan.",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CsSo11OSEUaFJSzEcXem7AIkk6Dm_N0f1jJN9yVaBxvHpQHRhRF_9CJ5gtlen3Guah6F-A5SlndeDaIaDh_yhn8TiBwd5QFlMbtjURo1OHbDIU-BM7niOCQPZHuQVmU0FoFG56qZYFe7JN6iJe3uvv7yCvbWaenIs7_QdsLqIo6E8FbGhzJa85cfXntQn4NONWWXhgd_iTgFJb_pRTPAR3p1l3wdnAFLYWz0dpPfl3G_3ejC3DwHA3aNUyfZxrdUXQ1uCedaOq7eaCidgOHOnV_orNsZ86KCZdtubuc4_uTPZRML9JneXrVhWn5Ule3iYSBsKKZhqc7gpMEBcZ0RHgL-AhDxQMUXbUeuF-SDhLJnICnghF6JW3uhi73jYRWCA0pZe8bfqC0qjyFsroMVGa6ycJ21rNxbiBUJl3gTIVXp_CxSbQvgVB-NuJ3P5US6QHZtXr8GpdH8FaMMd3ZF88HTsWLf8S6xFu2rVE5592n3_ZcaEKSeZ5PCLs6eY1b0zlSKczngGu0PuZ2sUm83rLZobMoTreDAay9KmJ5ccw6dd3A88Iz2g7fbIlM82jPuw=&p=12&fvj=0&vjs=3,Hourly,14.0,16.0,15.0,36660.0,0 - 50K
18,Senior Data Analytics Engineer,"$125,000 - $145,000 a year",Synergy Systems,"Charlotte, NC",Remote,4.2,"Technical skills in machines learning/AI with a proven track record.
Experience with advanced data analytics, data engineering, and AI/machine learning…",2 days ago,2021-01-15,https://www.indeed.com/company/Synergy-Systems/jobs/Senior-Data-Analytic-Engineer-c1fffe4d66cccb84?fccid=e143f1b08f6269c3&vjs=3,Yearly,125000.0,145000.0,135000.0,135000.0,120K - 150K
0,Mid-Level Data Analyst,"$70,000 - $95,000 a year",Axis Consultant Group LLC,"Owings Mills, MD",Temporarily remote,,"4 years of experience working as a data analyst.
Overall, we are looking for experienced analysts who can collect data, review and analyze data, transform the…",25 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CFSfLXLo0TU8VsB4EfGLoGp7HeW5Wc_WoTYOvOlqx6dj0Y77TzK0gQleaMUvZy6w07OxO1qCQZITMBovthxIRYQLa17u9qoJLnIPvRAbmP3GGbG0eyJE5hgSI4hEXU3AT8MWJaDEE3asApNsscCFiyXRBp_9NlJd2fkg9OZ6JTRVGtZqoX2bR8-WNLTO7GEAyOYziRBVVE5T-OEHnu3TrmpstMR1slj1WzvbBX_HzeAF855H5JqdwEsCKJGTiDBmhqobsaHTZ9A4LWmWw2aZCfOWodzgDcLjmo-HVkgEGcxUn-k5Zf9vExURTJJ2bhDfOcJIANzBunTbyVByoKJgQ74qKrOH1-zGDpYbvo2ekemQDWewQf0OSgjn3qYQeZRX5wU6izUwvUZtNvGv8i-7my38JIpscHseFQ0zGj3wYzZrGsNWTuWgB6uLYUkZ6BC6UTrJ3qTohRmLCemdnl8d3m&p=0&fvj=1&vjs=3,Yearly,70000.0,95000.0,82500.0,82500.0,70K - 90K
1,Research Data Analyst/Software Engineer,$31 - $40 an hour,Neurogazer USA,"Baltimore, MD",Remote,,"Under the direction of the chief science officer, the candidates will work in the research team to develop AI models to predict behavioral performance and other…",10 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BJJBdCULplSEaeHpey-r39yKRVIFGrHTfg0M0DIHj38P7aW7lYUe3HjiD0ZNXK-qtgaj2PpbHvQgKjbjV6FazgrrHpmNTP2rxSRX8YO_ORrqoSPAdEAPfrIJjQ1jJjB7mtqZ8pURMxdAjKpQ0ZhdUO0evAgRlv-lMSaJRYvjPYeuZHIiQ1R2_qK82gSmYumX3neN_9veYXm887pPF4SufDo-4KcVbrpVWGKhJlx-_hIjDg-_DzTHeREf6x-tm397ao1Hba37rioUi7mF63BeGieG0Hum_n9aBDK_kGc-RSZMsxQ7889wu4bNB_Q_IbFdzgn5dVRI6l6RMKXqpn-63ExTM961GL7UNvmaQqg0yqCAwzu2QnaaMtTVhctXUP9LqWWmayqQrPVZwlORsT59XXPCIboBc4C0MXuEDkYm4aI6UzmFYI50JQoDCxciGpKSmhPltDKMVAlz16dIn8QsDJLrtkJwd3fB-bhrPZu0K-GA==&p=1&fvj=1&vjs=3,Hourly,31.0,40.0,35.5,86762.0,70K - 90K
3,Healthcare Data Analyst,$50 - $60 an hour,Digital Dhara,"Columbia, MD",Temporarily remote,,"Able to develop and document consistent process to follow; technical skills write macros/equations (v-lookup, index(match), etc.); work with business analyst &…",1 day ago,2021-01-15,https://www.indeed.com/company/Digital-Dhara-LLC/jobs/Healthcare-Data-Analyst-48f42313b8b25c87?fccid=c77b76135d73a183&vjs=3,Hourly,50.0,60.0,55.0,134420.0,120K - 150K
5,IMMUNET DATA ANALYST (ADMINISTRATOR I),$22.96 - $29.72 an hour,State of Maryland,"Baltimore, MD",Remote,3.7,"Identify key data needs and reporting requirements;
Support data integration by defining requirements, streamlining processes, promoting transparency, and…",6 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e734a7dec29f743d&fccid=2d3a5aa715e90595&vjs=3,Hourly,22.96,29.72,26.34,64374.96,50K - 70K
10,Healthcare Data Analyst,"From $40,000 a year",INTERMED IPA CTO,"Baltimore, MD",,,"As a data analyst, you will be critical to our success helping practices access and use data to drive improvement in patient care.",28 days ago,2021-01-15,https://www.indeed.com/company/INTERMED-IPA-CTO/jobs/Healthcare-Data-Analyst-e782c64a9c4bb56c?fccid=925331f985393303&vjs=3,Yearly,40000.0,0.0,40000.0,40000.0,0 - 50K
13,Research Data Analyst,$21.72 - $29.90 an hour,Johns Hopkins University,"Baltimore, MD",,4.0,"Three years of experience with prior research study data collection, development & analysis.
Prior work experience with data sets creating programs and…",9 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=b5cd38c6e0386def&fccid=f34acbd24dd4fcb0&vjs=3,Hourly,21.72,29.9,25.81,63079.64,50K - 70K
19,Data Analyst - Special Education,"$65,908 a year",Baltimore City Public Schools,"Baltimore, MD",,3.6,"The Data Analyst will support the use of data systems and tools, inform conversations and develop data literacy among school leadership teams.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=bbaa0a7dba08b2f7&fccid=3326a5ad8d5aa81b&vjs=3,Yearly,65908.0,0.0,65908.0,65908.0,50K - 70K
21,Health Data Analyst,"$85,000 a year",ePATHUSA Inc,"Catonsville, MD",,,"1-3 years conducting complex analysis of health care claims (Part B), medical records, or enrollment data.
Skill in analyzing large data sets.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=4ff0661fd2711859&fccid=1d12de4e45a75ea2&vjs=3,Yearly,85000.0,0.0,85000.0,85000.0,70K - 90K
41,Sr. Business Analyst,"$60,000 - $70,000 a year","AP Benefit Advisors, LLC","Cockeysville, MD",Temporarily remote,3.0,"Assist in data integrity reporting by identifying, reconciling, researching and resolving data discrepancies.
Support team in escalated tasks.",2 days ago,2021-01-15,"https://www.indeed.com/company/AP-Benefit-Advisors,-LLC/jobs/Senior-Business-Analyst-ed2c859c2b06cd71?fccid=59226ec3324dc75b&vjs=3",Yearly,60000.0,70000.0,65000.0,65000.0,50K - 70K
42,Healthcare Business Analyst,$50 - $60 an hour,Digital Dhara,"Columbia, MD",Temporarily remote,,"Familiar with healthcare, can quickly come up to speed on legacy platform (KanTime) and new platform (AlayaCare) in order to help navigate remaining mapping and…",1 day ago,2021-01-15,https://www.indeed.com/company/Digital-Dhara-LLC/jobs/Healthcare-Business-Analyst-10888d384b3366fb?fccid=c77b76135d73a183&vjs=3,Hourly,50.0,60.0,55.0,134420.0,120K - 150K
51,Business Analyst,$17 - $25 an hour,"Lanterna Distributors, Inc","Baltimore, MD",Temporarily remote,,"Excellent data mining and data entry skills.
3 years of experience as business analyst/bookkeeper.
3 years of experience in using MS Office (Word, Excel,…",30+ days ago,2021-01-15,"https://www.indeed.com/company/Lanterna-Distributors,-Inc/jobs/Business-Analyst-b6d999f4dec78fdc?fccid=651436f2da642a92&vjs=3",Hourly,17.0,25.0,21.0,51324.0,50K - 70K
52,Business Analyst,$42 - $52 an hour,MDSS Technologies,"Baltimore, MD",,,"Demonstrate at least five (5) years of experience with requirements elicitation and definition, requirements planning and management, gap analysis, requirement…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=44c60b074c6350f6&fccid=a20933406def44db&vjs=3,Hourly,42.0,52.0,47.0,114868.0,90K - 120K
53,Business Analyst,"$70,000 a year","Inspection Experts, Inc.","Columbia, MD",,4.7,"Minimum 5 years experience in government contracting.
Government Contracting: 5 years (Required).
Business analysis: 5 years (Preferred).",18 days ago,2021-01-15,"https://www.indeed.com/company/Inspection-Experts,-Inc./jobs/Business-Analyst-ff8b9eff952d6132?fccid=13b92e56edc0e801&vjs=3",Yearly,70000.0,0.0,70000.0,70000.0,50K - 70K
55,Sr. Research Data Analyst,"$52,495 - $72,000 a year",Johns Hopkins University,"Baltimore, MD",,4.0,"Merging data, creating and recoding variables to prepare data for analyses.
Merging data, creating, and recoding variables to prepare data for analyses.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=2a3f99c7840effd2&fccid=f34acbd24dd4fcb0&vjs=3,Yearly,52495.0,72000.0,62247.5,62247.5,50K - 70K
57,Sr.Business Analyst-Investment - Middle Office with Bloomberg Reuters 3000,$50 an hour,ibrain Technologies Inc,"Owings Mills, MD",,,"· 3 – 5 years consulting experience preferred.*.
Undertake detailed data analysis and identify incremental data requirements and help identify solutions.",2 days ago,2021-01-15,https://www.indeed.com/company/ibrain-Technologies-Inc/jobs/Senior-Business-Analyst-Investment-7825f3ffe2a26ba5?fccid=007aebf599ab5183&vjs=3,Hourly,50.0,0.0,50.0,122200.0,120K - 150K
59,Healthcare Business Analyst,$42 - $52 an hour,TTS Solutions Inc,"Baltimore, MD",,,"Ability to build professional relationships, a spirit of co-operation, and a flexible approach to work are required 3-5 years of experience in Healthcare domain…",16 days ago,2021-01-15,https://www.indeed.com/company/TTS-Solutions-Inc/jobs/Healthcare-Business-Analyst-39e7f8a0e2bc2f78?fccid=012a0d5734a3318c&vjs=3,Hourly,42.0,52.0,47.0,114868.0,90K - 120K
65,Business Intelligence Analyst,"$70,000 - $80,000 a year",Emocha Mobile Health Inc,"Baltimore, MD",,,"Intermediate Business Intelligence requirements identification and documentation experience (logical data models, data flow diagrams, data definition documents,…",7 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=fbca42772f20ea93&fccid=303974e59b0ed752&vjs=3,Yearly,70000.0,80000.0,75000.0,75000.0,70K - 90K
73,"Quantitative Analyst, Centers for Civic Impact","$45,195 - $62,225 a year",Johns Hopkins University,"Baltimore, MD",Remote,4.0,"The analyst will develop high-impact tools, resources, and training materials to support the establishment of data management, performance management, and data…",28 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=554c92861169856a&fccid=f34acbd24dd4fcb0&vjs=3,Yearly,45195.0,62225.0,53710.0,53710.0,50K - 70K
82,Technical Business Analyst,$50 - $55 an hour,eTek IT Service | Savvysol,"Owings Mills, MD",,,"Works with key stakeholders within all business functions to align technology solutions with business strategies.
8-10 years experience required.",17 days ago,2021-01-15,https://www.indeed.com/rc/clk?cmp=eTek-IT-Service-%7C-Savvysol&ti=Technical+Business+Analyst&jk=f41e4630bb690626&fccid=b799b629b7493305&vjs=3,Hourly,50.0,55.0,52.5,128310.0,120K - 150K
109,MANAGEMENT AND PROGRAM ANALYST,"$103,690 - $134,798 a year",US Department of Defense,"Linthicum Heights, MD",Remote,4.2,Team Lead to use tools in order to execute data exchanges and enhance analytical strategies to capture competency development and evaluation performance data.,10 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ec3ea2ecd2ed9759&fccid=ca509b164585637a&vjs=3,Yearly,103690.0,134798.0,119244.0,119244.0,90K - 120K
117,Business Analyst/Product Owner,Up to $56 an hour,Vision,"Sparks Glencoe, MD",Temporarily remote,,"Product development projects: 5 years (Required).
Agile Project Management: 5 years (Required).
Computer systems in a windows-based environment: 5 years …",Today,2021-01-15,https://www.indeed.com/company/Vision/jobs/Business-Analyst-Product-Owner-d30f12cd3219e01b?fccid=c803b4b45f85b24e&vjs=3,Hourly,56.0,0.0,56.0,136864.0,120K - 150K
120,PROGRAM ANALYST (Planning and Deployment),"$103,690 - $134,798 a year",US Department of Defense,"Fort Meade, MD",Remote,4.2,"Program Management - Designs, implements, and manages multiple or ongoing programs/projects, and directs the related resources, personnel and activities.",6 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d8026896186135f0&fccid=ca509b164585637a&vjs=3,Yearly,103690.0,134798.0,119244.0,119244.0,90K - 120K
148,Business Analyst/Project Manager,$40 - $50 an hour,"Trobus Technologies,LLC","Cockeysville, MD",,,"\* Mentor and lead junior analysts and Project managers.
Job Type: Contract to Hire (6-9 months based on performance).
Job Types: Part-time, Contract.",2 days ago,2021-01-15,"https://www.indeed.com/company/Trobus-Technologies,LLC/jobs/Business-Analyst-Project-Manager-668b63770809cbf0?fccid=a16f15618775fd03&vjs=3",Hourly,40.0,50.0,45.0,109980.0,90K - 120K
163,"Manager, Strategic Initiatives and Business Intelligence","$69,140 - $95,005 a year",Johns Hopkins University,"Baltimore, MD",Temporarily remote,4.0,"Six years of experience in a professional environment where the required knowledge base and skills have been utilized, and a minimum of 3 years of data…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=cc714227dd71423a&fccid=f34acbd24dd4fcb0&vjs=3,Yearly,69140.0,95005.0,82072.5,82072.5,70K - 90K
174,Technical Business Analyst – Legal and Compliance Technology,Up to $55 an hour,Vision,"Owings Mills, MD",Temporarily remote,,"Technical business analyst: 5 years (Required).
Analysis Skills: 5 years (Required).
Legal, Compliance, or regulatory environment: 5 years (Required).",10 days ago,2021-01-15,https://www.indeed.com/company/Vision/jobs/Technical-Business-Analyst-Legal-Compliance-Technology-998566fdebf5da62?fccid=c803b4b45f85b24e&vjs=3,Hourly,55.0,0.0,55.0,134420.0,120K - 150K
193,Configuration and Data Management Analyst,"From $57,678 a year",Perspecta,"Fort Meade, MD",Remote,3.3,"Requires 5 to 8 years with BS/BA or 3 to 5 years with MS/MA or 0 to 2 years with PhD.
Build monthly status report (MSR) data to project manager.",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=65d11ebe07f78ebb&fccid=8a813d7674dea751&vjs=3,Yearly,57678.0,0.0,57678.0,57678.0,50K - 70K
253,Portfolio Data Analyst - GIS Supervisor,From $35 an hour,The CARIAN Group,"Annapolis, MD",Temporarily remote,3.6,"Produce reports on geographic data utilizing data visualizations.
Designing digital maps with geographic data and other data sources.",9 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AAxBjQkKRvuKvHKrYsEQgasPXT_gUblnra0zMXinx3tjQBDKgrWtSv6URuQyEC1W2s35K0yU1czK24nvhRo4am-fl5hdYsG73J971QjoxeUVwU2zXaoLlUZVFngbfsOMdHbbJfBHS9aZvC7oA7jnIVwivgr95xpySpwHXGUyj2YjTUKby3yZVmpymF00q0iONOLM3oyI1QLbsS0GITKzYRLTnva93S3gcTaUQQvdw3EUucSsLI5q-DuVDOipnVLbra1SCzYPTNUemGGVubgur4hqXfKFIWXg8eLbs7enBfMH58YLQFbdDYNt97P2FpuiIIDLBrFQ9V1cK_lrAxKZyxo4oQ1_PoZpBuoDyaymiIBcdeK4nNgoqFBCRjKrztyNxIcBG1ggSE5rm47bM4WkSAQqM1bCbiKlGerFPll2ClvK4URANJYsVUcc1uAS9k4YWnWK3kjk73alKDro3ha9ngtwSkoD3UMDI=&p=13&fvj=1&vjs=3,Hourly,35.0,0.0,35.0,85540.0,70K - 90K
262,Sr Business Analyst - non technical (MUST have Investment experience!),"$110,000 - $130,000 a year",Who... a staffing company,"Baltimore, MD",Temporarily remote,,"3 – 5 years consulting experience preferred.
Undertake detailed data analysis and identify incremental data requirements and help identify solutions.",3 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D8qe4D8speIWsVRs46h0m7IsudPd75aHHMzmLGJRCPyG-QMcvsiuXB6iu7s5abUKp4mfWH2Z1gQnSNqHjTOKHWQuIQLIg5-w2xFiDg5fN6Q0GQWBHSALyN0H5-PFcUm2AmwxeyuyZPAI1mY38kVz67VRJnxnqZTBPfY5xK_PKWB5yeipF0777o-k9DjYHTdCMivo_OrMPTFfGePARARz9XMjuzM1bWZI57MP-qQoUezTi7LjGdqv09ODvCPrpbSw9Qigq4zA3pJOH5Cu0HdyoDVXmYKGA6aFkuZYncvQ4407G3CKAv5fsWUYsB0wSNkPcB0CNCQ1ccVdOzJH5AcYMkG5214YjUCJw7DMQ7YDXBx0pdXgxlMkxQPwHgFD6CGOM3X8Z69DQkIIEtA8a4xG5ESxizKFYSoYvg8o2Cb2RnNMsXHkw88D2Tyn22nylm7DkW6YXP7-vnIClQPWFOixwiGUOQxQppKMZpIfZ2P0KVEtZRnUTm2twDmSPZWRYAmsKYIZmNx8dtX2iTMJ2R7iCo&p=6&fvj=1&vjs=3,Yearly,110000.0,130000.0,120000.0,120000.0,90K - 120K
272,Project Cost Analyst,$30 - $42 an hour,Randstad Engineering,"Windsor Mill, MD",,3.7,"You will be dealing with large data sets, so you need to be able to analyze and manipulate these data sets with MS Excel.
Minimum 4 years of experience.",3 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BDx217eft1lC7uqItkaModCFPNh_e0lnHdKkvEJecXwu4gIqA7CFTnvSYR8MShG5aTTS9JAICieHf14YRCnBBr03C_THMYosq_GJPk59-V1sgfwt-sfhRyfTnCza8YSvJFhDhm0doVMxh1ikKmj6NT0N5aND3dcIBEtxhHtMZG8R1AlEdfSVrE3BHMJVSKZ25qfvbkaBuiK3xKLjEFNZghym2mTI2QMQssA13K0KqHWyyQNEYiNMbkyiqxUCpCdvC70PtvILr-nAZY-U7IWtTyV5vnp099B74aTSovw7gJOlznlNAzMUcUbg5TFYGIgmJmlM14GnztP3ahyH2N1AqH8LphTuVWhC0kricw9RvYM-ezSgp2-z3zdt6-mqdzuqhS0z2Rb9HYdROsLUdQaZicGdgXj-LB6cUFEyTffyKSfdcpchjB4ajEPNXN8Krkuqcxco1R27A5NWa-_Mo4c9E4wtSLKYkVrUdw7H2_CR49vv03wFUE1C4kNKYZMC9Tz8levbgh9-u2jKOkWVlRkyCdYsTevGX8b7V_J-I6_NRbZP3CUvkVBWV3MWuNtpOwa17127i9VurECB5qo6iFMKRoqagFSBjTSgPvi5roqtFrqFwznSNqk9n6Ga3gVCsdGO4=&p=1&fvj=0&vjs=3,Hourly,30.0,42.0,36.0,87984.0,70K - 90K
2,Mathematical Statistician,"$72,351 - $90,157 a year",National Security Agency,"Fort Meade, MD",,4.2,"Entry is with a Bachelor's degree plus 3 years of relevant experience or a Master's degree plus 1 year of relevant experience, or a Doctoral degree and no…",18 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AC5S5KfpcrE62cRuYLg6qW_HWiPjKHP06qk-AGfbwYtGlr3wcSMURH9oqKq1q2FCd1T7WosCpHM8mgvKUVCw7dmCawLNYVhjNI7qH51w55kjVV3ilnv1naYyWhnFxyt8kMeTDa8e0g51iO5npZci91fYYQkzuhfhM6on-YfnfevMyXb_4gXViH6oQgQQofpj-7xkud0a60ge9dT2asVzfgScqVPc_1eDc53hfGZrhdsVgXWWsLUphSBFULdEPzqeP7TskMbA6DMi1KGKxax7sOJ8BYoefZ4mI_rovcX9C34SuoL89XSNM-nQ778PyAGr-uafiLCkSjvIDOJnpk7aIlLyYIhFI2xB1B7Kra3-osihHhvjdiC3MOu4WvFH9bleN4koOyE-FCEjNX9mSsOHOApcxgPedITeMff7NTu2RqlQdbDQvhErfFxUejdQwUfNE=&p=2&fvj=0&vjs=3,Yearly,72351.0,90157.0,81254.0,81254.0,70K - 90K
32,Mathematical Statistician,"$103,690 - $134,798 a year",US Other Agencies and Independent Organizations,"Woodlawn, MD",,3.8,"Specialized experience includes designing, developing, and adapting mathematical methods and techniques to statistical processes (e.g., stratification and…",11 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a98b142415d89cd9&fccid=0e7e5fe9219fd5cd&vjs=3,Yearly,103690.0,134798.0,119244.0,119244.0,90K - 120K
59,Data Scientist (Secret Clearance),"$96,102 - $200,458 a year",TAA Solutions LLC,"Linthicum Heights, MD",,,"Some knowledge of machine learning concepts a plus, but must be able to do analysis and analytics without ML frameworks.
Job Types: Full-time, Contract.",30+ days ago,2021-01-15,https://www.indeed.com/company/taa-solutions-llc/jobs/Data-Scientist-e64bb023a4f3b19a?fccid=dc14d8d15c8abaea&vjs=3,Yearly,96102.0,200458.0,148280.0,148280.0,120K - 150K
